,Status,Meal plan identifier,Segmentation,Lenght of the stay,Day of week,Room type ok,Non refundable
561,Confirmed,RO,Online Travel agency,3,Not Weekend,Double Standard,Free cancellation
562,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Double London Eye view,Non refundable
563,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
564,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
565,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
566,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
567,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
568,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
569,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
570,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
571,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
572,Confirmed,RO,Direct reservation / Walk-in,4,Not Weekend,Double Standard,Free cancellation
573,Confirmed,RO,Direct reservation / Walk-in,4,Not Weekend,Double Standard,Free cancellation
574,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
575,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
576,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
577,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Deluxe,Free cancellation
578,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double London Eye view,Non refundable
579,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
580,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Non refundable
581,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Deluxe,Free cancellation
582,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Deluxe,Free cancellation
583,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
584,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
585,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
586,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
587,Confirmed,RO,Online Travel agency,11,Not Weekend,Double Standard,Non refundable
588,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard City View,Free cancellation
589,Confirmed,BB,Travel agency,2,Not Weekend,Triple Standard,Free cancellation
590,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
591,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
592,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
593,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Triple Standard,Free cancellation
594,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
595,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
596,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
597,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
598,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
599,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
600,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
601,Confirmed,BB,Flash sales / Boxes,7,Not Weekend,Double Deluxe,Free cancellation
602,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
603,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
604,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
605,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
606,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Free cancellation
607,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Non refundable
608,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Non refundable
609,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Triple Standard,Non refundable
610,Confirmed,RO,Online Travel agency,2,Not Weekend,Triple Standard,Non refundable
611,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
612,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Non refundable
613,Confirmed,BB,Tour Operator,1,Not Weekend,Double Standard,Free cancellation
614,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Junior Suite,Free cancellation
615,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double London Eye view,Free cancellation
616,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Deluxe,Free cancellation
617,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Deluxe,Free cancellation
618,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Deluxe,Free cancellation
619,Confirmed,RO,Online Travel agency,1,Weekend,Double Standard City View,Free cancellation
620,Confirmed,BB,Tour Operator,2,Weekend,Double Standard,Free cancellation
621,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Standard,Non refundable
622,Confirmed,BB,Flash sales / Boxes,1,Weekend,Double Standard,Free cancellation
623,Confirmed,BB,Travel agency,1,Weekend,Double Standard,Free cancellation
624,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Standard,Non refundable
625,Confirmed,BB,Flash sales / Boxes,1,Weekend,Double Standard,Free cancellation
626,Confirmed,BB,Tour Operator,1,Weekend,Double Standard,Free cancellation
627,Confirmed,RO,Direct reservation / Walk-in,2,Weekend,Double Standard,Non refundable
628,Confirmed,BB,Flash sales / Boxes,1,Weekend,Double Standard,Free cancellation
629,Confirmed,BB,Tour Operator,3,Weekend,Double Standard,Free cancellation
630,Confirmed,RO,Online Travel agency,1,Weekend,Double Standard,Non refundable
631,Confirmed,BB,Corporate/Mice,1,Weekend,Double Standard,Free cancellation
632,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Standard City View,Non refundable
633,Confirmed,BB,Online Travel agency,1,Weekend,Double Deluxe,Free cancellation
634,Confirmed,RO,Global Distribution Systems (GDS),3,Weekend,Double Standard,Free cancellation
635,Confirmed,BB,Corporate/Mice,5,Weekend,Double Standard,Free cancellation
636,Confirmed,BB,Corporate/Mice,5,Weekend,Double Standard,Free cancellation
637,Confirmed,RO,Corporate/Mice,5,Weekend,Double Standard,Free cancellation
638,Confirmed,BB,Tour Operator,3,Weekend,Double Standard,Free cancellation
639,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Standard,Free cancellation
640,Confirmed,RO,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
641,Confirmed,BB,Corporate/Mice,4,Not Weekend,Double Standard,Free cancellation
642,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Non refundable
643,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
644,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
645,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
646,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Non refundable
647,Confirmed,RO,Last minute app,2,Not Weekend,Double Standard,Free cancellation
648,Confirmed,BB,Online Travel agency,4,Not Weekend,Double Deluxe,Free cancellation
649,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Free cancellation
650,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Free cancellation
651,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
652,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
653,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
654,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
655,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
656,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Free cancellation
657,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard City View,Free cancellation
658,Confirmed,RO,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
659,Confirmed,RO,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
660,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
661,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard City View,Free cancellation
662,Confirmed,RO,Direct reservation / Walk-in,5,Not Weekend,Double Standard,Non refundable
663,Confirmed,RO,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
664,Confirmed,BB,Travel agency,1,Not Weekend,Double Standard,Free cancellation
665,Confirmed,RO,Global Distribution Systems (GDS),1,Not Weekend,Double Standard,Free cancellation
666,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
667,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
668,Confirmed,BB,Global Distribution Systems (GDS),1,Not Weekend,Double Standard,Free cancellation
669,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Non refundable
670,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard City View,Non refundable
671,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard City View,Free cancellation
672,Confirmed,RO,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
673,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
674,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
675,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
676,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
677,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
678,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
679,Confirmed,BB,Global Distribution Systems (GDS),1,Not Weekend,Double Standard,Free cancellation
680,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
681,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
682,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Deluxe,Free cancellation
683,Confirmed,BB,Travel agency,4,Not Weekend,Double Standard,Free cancellation
684,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Double Standard,Non refundable
685,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Non refundable
686,Confirmed,BB,Tour Operator,4,Not Weekend,Double Standard,Free cancellation
687,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
688,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Double London Eye view,Non refundable
689,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
690,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Free cancellation
691,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard City View,Non refundable
692,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard City View,Non refundable
693,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
694,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
695,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
696,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
697,Confirmed,BB,Flash sales / Boxes,5,Not Weekend,Double Deluxe,Free cancellation
698,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
699,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
700,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Deluxe,Free cancellation
701,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
702,Confirmed,BB,Tour Operator,4,Not Weekend,Double Standard,Free cancellation
703,Confirmed,BB,Direct reservation / Walk-in,3,Not Weekend,Double Standard,Free cancellation
704,Confirmed,BB,Direct reservation / Walk-in,2,Not Weekend,Triple Standard,Free cancellation
705,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
706,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Free cancellation
707,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Non refundable
708,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Non refundable
709,Confirmed,RO,Online Travel agency,4,Not Weekend,Double Standard,Non refundable
710,Confirmed,BB,Flash sales / Boxes,7,Not Weekend,Double Standard,Free cancellation
711,Confirmed,RO,Direct reservation / Walk-in,7,Weekend,Triple Standard,Free cancellation
712,Confirmed,BB,Flash sales / Boxes,1,Weekend,Double Standard,Free cancellation
713,Confirmed,BB,Travel agency,2,Weekend,Double Standard,Free cancellation
714,Confirmed,BB,Travel agency,3,Weekend,Triple Standard,Free cancellation
715,Confirmed,BB,Flash sales / Boxes,1,Weekend,Double Standard,Free cancellation
716,Confirmed,BB,Tour Operator,3,Weekend,Double Standard,Free cancellation
717,Confirmed,BB,Online Travel agency,2,Weekend,Double Deluxe,Free cancellation
718,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Standard,Free cancellation
719,Confirmed,BB,Corporate/Mice,1,Weekend,Double Standard,Free cancellation
720,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Standard,Free cancellation
721,Confirmed,BB,Online Travel agency,6,Weekend,Double Standard,Free cancellation
722,Confirmed,BB,Direct reservation / Walk-in,1,Weekend,Double Standard,Free cancellation
723,Confirmed,BB,Flash sales / Boxes,1,Weekend,Double Deluxe,Free cancellation
724,Confirmed,RO,Corporate/Mice,5,Weekend,Double Standard,Free cancellation
725,Confirmed,BB,Flash sales / Boxes,4,Weekend,Double Standard,Free cancellation
726,Confirmed,BB,Global Distribution Systems (GDS),5,Weekend,Double Standard,Free cancellation
727,Confirmed,BB,Online Travel agency,4,Not Weekend,Double Standard,Free cancellation
728,Confirmed,BB,Tour Operator,4,Not Weekend,Double Standard,Free cancellation
729,Confirmed,BB,Online Travel agency,4,Not Weekend,Double Standard,Free cancellation
730,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
731,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
732,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
733,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
734,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
735,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Non refundable
736,Confirmed,BB,Corporate/Mice,6,Not Weekend,Double Standard,Free cancellation
737,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Triple Standard,Free cancellation
738,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
739,Confirmed,RO,Corporate/Mice,3,Not Weekend,Double Standard,Free cancellation
740,Confirmed,RO,Online Travel agency,4,Not Weekend,Double Standard,Free cancellation
741,Confirmed,RO,Online Travel agency,4,Not Weekend,Double Standard,Free cancellation
742,Confirmed,RO,Online Travel agency,4,Not Weekend,Double Standard,Free cancellation
743,Confirmed,RO,Online Travel agency,4,Not Weekend,Double Standard,Free cancellation
744,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
745,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
746,Confirmed,RO,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
747,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
748,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
749,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
750,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
751,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Deluxe,Non refundable
752,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
753,Confirmed,RO,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
754,Confirmed,RO,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
755,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Deluxe,Free cancellation
756,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Double Standard,Non refundable
757,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
758,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
759,Confirmed,RO,Online Travel agency,3,Not Weekend,Double Standard,Free cancellation
760,Confirmed,BB,Online Travel agency,3,Not Weekend,Double Standard,Free cancellation
761,Confirmed,RO,Global Distribution Systems (GDS),2,Not Weekend,Double Standard,Free cancellation
762,Confirmed,BB,Tour Operator,4,Not Weekend,Double Standard,Free cancellation
763,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Deluxe,Free cancellation
764,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
765,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
766,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
767,Confirmed,RO,Online Travel agency,4,Not Weekend,Double Standard,Free cancellation
768,Confirmed,RO,Online Travel agency,4,Not Weekend,Double Standard,Free cancellation
769,Confirmed,BB,Direct reservation / Walk-in,7,Not Weekend,Double Deluxe,Non refundable
770,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
771,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
772,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
773,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
774,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
775,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
776,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
777,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Standard,Free cancellation
778,Confirmed,RO,Online Travel agency,3,Not Weekend,Double Standard,Non refundable
779,Confirmed,RO,Direct reservation / Walk-in,2,Not Weekend,Double Standard,Free cancellation
780,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
781,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
782,Confirmed,BB,Tour Operator,2,Not Weekend,Double Standard,Free cancellation
783,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
784,Confirmed,RO,Online Travel agency,6,Not Weekend,Double Standard City View,Non refundable
785,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Free cancellation
786,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
787,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
788,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
789,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
790,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
791,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Free cancellation
792,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
793,Confirmed,BB,Flash sales / Boxes,3,Not Weekend,Double Deluxe,Free cancellation
794,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
795,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
796,Confirmed,RO,Online Travel agency,3,Not Weekend,Double Standard,Free cancellation
797,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
798,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
799,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
800,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
801,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
802,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
803,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
804,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
805,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
806,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard City View,Free cancellation
807,Confirmed,RO,Direct reservation / Walk-in,4,Weekend,Double Standard,Free cancellation
808,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Standard,Free cancellation
809,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Standard,Free cancellation
810,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Standard,Free cancellation
811,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Standard,Free cancellation
812,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Standard,Free cancellation
813,Confirmed,RO,Direct reservation / Walk-in,1,Weekend,Double Standard,Free cancellation
814,Confirmed,BB,Tour Operator,2,Weekend,Double Standard,Free cancellation
815,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Deluxe,Free cancellation
816,Confirmed,BB,Corporate/Mice,1,Weekend,Double Standard,Free cancellation
817,Confirmed,BB,Tour Operator,1,Weekend,Double Standard,Free cancellation
818,Confirmed,BB,Direct reservation / Walk-in,2,Weekend,Double London Eye view,Free cancellation
819,Confirmed,BB,Travel agency,6,Weekend,Triple Standard,Free cancellation
820,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
821,Confirmed,BB,Online Travel agency,1,Not Weekend,Double Standard City View,Non refundable
822,Confirmed,RO,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
823,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Non refundable
824,Confirmed,BB,Travel agency,2,Not Weekend,Double Standard,Free cancellation
825,Confirmed,RO,Global Distribution Systems (GDS),1,Not Weekend,Double Standard,Free cancellation
826,Confirmed,RO,Global Distribution Systems (GDS),1,Not Weekend,Double Standard,Free cancellation
827,Confirmed,BB,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
828,Confirmed,RO,Direct reservation / Walk-in,4,Not Weekend,Double Standard City View,Non refundable
829,Confirmed,RO,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
830,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
831,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
832,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Standard,Free cancellation
833,Confirmed,BB,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Free cancellation
834,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
835,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
836,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Free cancellation
837,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
838,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
839,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard City View,Free cancellation
840,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
841,Confirmed,RO,Direct reservation / Walk-in,4,Not Weekend,Double Standard,Non refundable
842,Confirmed,RO,Direct reservation / Walk-in,4,Not Weekend,Double Standard,Non refundable
843,Confirmed,RO,Online Travel agency,5,Not Weekend,Triple Standard,Free cancellation
844,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
845,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
846,Confirmed,BB,Tour Operator,4,Not Weekend,Double Standard,Free cancellation
847,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Deluxe,Free cancellation
848,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Deluxe,Free cancellation
849,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
850,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
851,Confirmed,RO,Direct reservation / Walk-in,6,Not Weekend,Double Standard,Free cancellation
852,Confirmed,BB,Flash sales / Boxes,1,Weekend,Double Standard,Free cancellation
853,Confirmed,BB,Flash sales / Boxes,4,Weekend,Double Deluxe,Free cancellation
854,Confirmed,BB,Flash sales / Boxes,4,Weekend,Double Deluxe,Free cancellation
855,Confirmed,RO,Direct reservation / Walk-in,4,Weekend,Double Standard,Free cancellation
856,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Deluxe,Free cancellation
857,Confirmed,BB,Tour Operator,1,Weekend,Double Standard,Free cancellation
858,Confirmed,BB,Travel agency,2,Weekend,Double Standard,Free cancellation
859,Confirmed,BB,Corporate/Mice,1,Weekend,Double Standard,Free cancellation
860,Confirmed,BB,Tour Operator,5,Weekend,Double Standard,Free cancellation
861,Confirmed,BB,Flash sales / Boxes,2,Weekend,Double Deluxe,Free cancellation
862,Confirmed,BB,Flash sales / Boxes,3,Weekend,Double Deluxe,Free cancellation
863,Confirmed,BB,Flash sales / Boxes,1,Weekend,Double Standard,Free cancellation
864,Confirmed,RO,Online Travel agency,2,Weekend,Double Standard,Free cancellation
865,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Double Standard,Non refundable
866,Confirmed,BB,Tour Operator,4,Not Weekend,Double Standard,Free cancellation
867,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Deluxe,Non refundable
868,Confirmed,RO,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
869,Confirmed,BB,Corporate/Mice,3,Not Weekend,Double Standard,Free cancellation
870,Confirmed,BB,Travel agency,4,Not Weekend,Double Standard,Free cancellation
871,Confirmed,BB,Flash sales / Boxes,4,Not Weekend,Double Deluxe,Free cancellation
872,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
873,Confirmed,RO,Direct reservation / Walk-in,1,Not Weekend,Double Standard,Non refundable
874,Confirmed,RO,Online Travel agency,4,Not Weekend,Double Standard,Non refundable
875,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
876,Confirmed,RO,Corporate/Mice,2,Not Weekend,Double Standard,Free cancellation
877,Confirmed,BB,Tour Operator,5,Not Weekend,Double Standard,Free cancellation
878,Confirmed,RO,Online Travel agency,1,Not Weekend,Double Standard,Non refundable
879,Confirmed,BB,Corporate/Mice,1,Not Weekend,Double Standard,Free cancellation
880,Confirmed,BB,Tour Operator,3,Not Weekend,Double Standard,Free cancellation
881,Confirmed,BB,Flash sales / Boxes,2,Not Weekend,Double Deluxe,Free cancellation
882,Confirmed,BB,Travel agency,3,Not Weekend,Double Standard,Free cancellation
883,Confirmed,BB,Flash sales / Boxes,1,Not Weekend,Double Standard,Free cancellation
884,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Double Standard,Free cancellation
885,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Double Standard,Free cancellation
886,Confirmed,RO,Direct reservation / Walk-in,3,Not Weekend,Triple Standard,Free cancellation
887,Confirmed,RO,Online Travel agency,2,Not Weekend,Double Standard,Non refundable
