,Cancelled,Arrival,Arrival month,Departure,Length of the stay,Creation date,Lead time,Cancellation date,Cxl time,Cancellation lead time,Stay type,Room type,Meal,N of pax,Non Refundable,VIP,Country,Market channel,Channel
285,1,2019-01-23,1,2019-01-25,2,2018-12-19,35,2019-01-09 00:00:00,21.0,14.0,L-L,Double Standard,BB,1,0,1,United Kingdom,Corporate / Mice,GDS
286,1,2019-01-23,1,2019-01-24,1,2018-12-20,34,2019-01-08 00:00:00,19.0,15.0,L-L,Double Standard,BB,1,0,0,United Kingdom,Corporate / Mice,GDS
287,1,2019-01-23,1,2019-01-24,1,2019-01-09,14,2019-01-22 00:00:00,13.0,1.0,L-L,Double Standard,BB,1,0,1,United Kingdom,Corporate / Mice,GDS
288,1,2019-01-23,1,2019-01-24,1,2019-01-12,11,2019-01-21 00:00:00,9.0,2.0,L-L,Double Standard,BB,1,0,0,United Kingdom,Corporate / Mice,EMAIL
289,1,2019-01-23,1,2019-01-25,2,2019-01-21,2,2019-01-22 00:00:00,1.0,1.0,L-L,Double Standard,BB,1,0,1,Other,Corporate / Mice,EMAIL
290,1,2019-01-23,1,2019-01-24,1,2019-01-22,1,2019-01-23 00:00:00,1.0,0.0,L-L,Double Standard,BB,1,0,1,Spain,Corporate / Mice,EMAIL
291,1,2019-01-24,1,2019-01-28,4,2018-10-17,99,2018-10-18 00:00:00,1.0,98.0,L-W-L,Double Standard,BB,2,0,0,Spain,Travel agency,XML
292,1,2019-01-24,1,2019-01-28,4,2018-10-17,99,2018-10-17 00:00:00,0.0,99.0,L-W-L,Double Standard,BB,2,0,0,Spain,Travel agency,XML
293,1,2019-01-24,1,2019-01-28,4,2018-10-17,99,2018-10-17 00:00:00,0.0,99.0,L-W-L,Double Standard,BB,1,0,0,United Kingdom,Travel agency,XML
294,1,2019-01-24,1,2019-01-28,4,2018-10-17,99,2018-10-17 00:00:00,0.0,99.0,L-W-L,Double Standard,BB,1,0,0,United Kingdom,Travel agency,XML
295,1,2019-01-24,1,2019-01-28,4,2018-10-18,98,2018-11-12 00:00:00,25.0,73.0,L-W-L,Double Standard,BB,2,0,0,Spain,Travel agency,XML
296,1,2019-01-24,1,2019-01-28,4,2018-10-18,98,2018-11-12 00:00:00,25.0,73.0,L-W-L,Double Standard,BB,2,0,0,Spain,Travel agency,XML
297,1,2019-01-24,1,2019-01-30,6,2018-12-07,48,2019-01-09 00:00:00,33.0,15.0,L-W-L,Double Standard,RO,1,0,0,United States,OTA,XML
298,1,2019-01-24,1,2019-01-25,1,2019-01-11,13,2019-01-22 00:00:00,11.0,2.0,L-L,Double Standard,RO,2,0,0,Spain,Direct / Walk-in,WEB
299,1,2019-01-24,1,2019-01-25,1,2019-01-11,13,2019-01-22 00:00:00,11.0,2.0,L-L,Double Standard,RO,1,0,0,Spain,Direct / Walk-in,WEB
300,1,2019-01-24,1,2019-01-25,1,2019-01-15,9,2019-01-23 00:00:00,8.0,1.0,L-L,Double Standard,BB,1,0,0,United Kingdom,TTOO,EMAIL
301,1,2019-01-25,1,2019-01-27,2,2018-08-27,151,2018-08-27 00:00:00,0.0,151.0,W-L,Double Standard City View,BB,2,0,0,Other,OTA,XML
302,1,2019-01-25,1,2019-01-27,2,2018-08-28,150,2018-11-07 00:00:00,71.0,79.0,W-L,Double Standard,RO,2,0,0,Other,OTA,XML
303,1,2019-01-25,1,2019-01-27,2,2018-08-28,150,2018-09-07 00:00:00,10.0,140.0,W-L,Double Standard,RO,2,0,0,Other,OTA,XML
304,1,2019-01-25,1,2019-01-27,2,2018-08-28,150,2018-09-07 00:00:00,10.0,140.0,W-L,Double Standard,RO,2,0,0,Other,OTA,XML
305,1,2019-01-25,1,2019-01-27,2,2018-08-28,150,2018-10-01 00:00:00,34.0,116.0,W-L,Double Standard,RO,2,0,0,Other,OTA,XML
306,1,2019-01-25,1,2019-01-27,2,2018-10-08,109,2018-10-25 00:00:00,17.0,92.0,W-L,Double Standard,BB,2,0,0,United Kingdom,TTOO,EMAIL
307,1,2019-01-25,1,2019-01-27,2,2018-10-10,107,2019-01-21 00:00:00,103.0,4.0,W-L,Double Standard,RO,2,0,0,Other,OTA,XML
308,1,2019-01-25,1,2019-01-26,1,2018-10-23,94,2018-10-24 00:00:00,1.0,93.0,W-L,Double Standard,RO,2,0,0,Other,OTA,XML
309,1,2019-01-25,1,2019-01-26,1,2018-10-29,88,2018-10-30 00:00:00,1.0,87.0,W-L,Double Standard,RO,2,0,0,Other,OTA,XML
310,1,2019-01-25,1,2019-01-26,1,2018-10-30,87,2018-10-30 00:00:00,0.0,87.0,W-L,Triple Standard,RO,3,0,0,Spain,Direct / Walk-in,WEB
311,1,2019-01-25,1,2019-01-29,4,2018-11-22,64,2018-12-17 00:00:00,25.0,39.0,L-W-L,Double Standard,BB,1,0,0,United Kingdom,TTOO,EMAIL
312,1,2019-01-25,1,2019-01-27,2,2018-11-28,58,2019-01-09 00:00:00,42.0,16.0,W-L,Double Standard City View,BB,2,0,0,Other,OTA,XML
313,1,2019-01-25,1,2019-01-27,2,2018-12-04,52,2018-12-06 00:00:00,2.0,50.0,W-L,Double Standard,BB,2,0,0,Other,TTOO,EMAIL
314,1,2019-01-25,1,2019-01-27,2,2018-12-05,51,2018-12-21 00:00:00,16.0,35.0,W-L,Double Standard,RO,1,0,0,Other,OTA,XML
316,1,2019-01-25,1,2019-01-27,2,2018-12-07,49,2019-01-25 00:00:00,49.0,0.0,W-L,Double Standard,BB,2,0,0,Other,Flash / Boxes,EMAIL
317,1,2019-01-25,1,2019-01-28,3,2018-12-20,36,2019-01-23 00:00:00,34.0,2.0,L-W-L,Double Standard,BB,1,0,1,United Kingdom,Corporate / Mice,EMAIL
318,1,2019-01-25,1,2019-01-29,4,2019-01-02,23,2019-01-03 00:00:00,1.0,22.0,L-W-L,Double Standard,RO,1,0,0,Other,OTA,XML
319,1,2019-01-25,1,2019-01-27,2,2019-01-05,20,2019-01-15 00:00:00,10.0,10.0,W-L,Double Standard,BB,2,0,0,Other,Travel agency,EMAIL
322,1,2019-01-25,1,2019-01-28,3,2019-01-16,9,2019-01-16 00:00:00,0.0,9.0,L-W-L,Double Standard,BB,2,0,0,Other,Travel agency,EMAIL
323,1,2019-01-25,1,2019-01-28,3,2019-01-16,9,2019-01-16 00:00:00,0.0,9.0,L-W-L,Double Standard,BB,2,0,0,Other,Travel agency,EMAIL
324,1,2019-01-25,1,2019-01-28,3,2019-01-16,9,2019-01-16 00:00:00,0.0,9.0,L-W-L,Double Standard,BB,2,0,0,Other,Travel agency,EMAIL
325,1,2019-01-25,1,2019-01-26,1,2019-01-21,4,2019-01-24 00:00:00,3.0,1.0,W-L,Double Standard,RO,2,0,1,Spain,Direct / Walk-in,WEB
326,1,2019-01-26,1,2019-01-27,1,2018-10-07,111,2018-10-17 00:00:00,10.0,101.0,W-W,Double Standard,RO,2,0,0,Other,OTA,XML
327,1,2019-01-26,1,2019-01-30,4,2018-11-03,84,2018-11-20 00:00:00,17.0,67.0,L-W,Double Standard,BB,2,0,0,Other,TTOO,EMAIL
328,1,2019-01-26,1,2019-01-29,3,2018-11-19,68,2018-11-22 00:00:00,3.0,65.0,L-W,Double Standard,BB,2,0,0,United Kingdom,TTOO,EMAIL
329,1,2019-01-26,1,2019-01-30,4,2018-11-19,68,2018-11-19 00:00:00,0.0,68.0,L-W,Double Standard,RO,1,0,0,Germany,GDS,EMAIL
331,1,2019-01-26,1,2019-01-29,3,2018-11-22,65,2018-12-17 00:00:00,25.0,40.0,L-W,Double Standard,BB,1,0,0,China,OTA,EMAIL
332,1,2019-01-26,1,2019-01-29,3,2018-11-22,65,2018-12-17 00:00:00,25.0,40.0,L-W,Double Standard,BB,1,0,0,China,OTA,EMAIL
333,1,2019-01-26,1,2019-01-28,2,2018-11-24,63,2018-11-25 00:00:00,1.0,62.0,L-W,Double Standard,RO,2,0,0,Other,OTA,XML
334,1,2019-01-26,1,2019-01-27,1,2018-11-29,58,2019-01-12 00:00:00,44.0,14.0,W-W,Double Standard,RO,1,0,0,Other,OTA,XML
335,1,2019-01-26,1,2019-01-27,1,2018-11-29,58,2019-01-12 00:00:00,44.0,14.0,W-W,Double Standard,RO,1,0,0,Other,OTA,XML
336,1,2019-01-26,1,2019-01-29,3,2018-12-15,42,2019-01-20 00:00:00,36.0,6.0,L-W,Double Standard,RO,1,0,0,Other,OTA,XML
337,1,2019-01-27,1,2019-01-29,2,2018-10-15,104,2018-10-17 00:00:00,2.0,102.0,L-W,Double Standard,RO,2,0,0,Other,OTA,XML
338,1,2019-01-27,1,2019-01-29,2,2018-10-15,104,2018-10-17 00:00:00,2.0,102.0,L-W,Double Standard,RO,2,0,0,Other,OTA,XML
339,1,2019-01-27,1,2019-01-29,2,2018-10-16,103,2018-10-18 00:00:00,2.0,101.0,L-W,Double Standard,BB,2,0,0,Other,OTA,XML
340,1,2019-01-27,1,2019-01-29,2,2018-10-16,103,2018-10-18 00:00:00,2.0,101.0,L-W,Double Standard,BB,2,0,0,Other,OTA,XML
341,1,2019-01-27,1,2019-01-31,4,2018-10-18,101,2019-01-14 00:00:00,88.0,13.0,L-W,Double Standard,BB,1,0,0,Other,OTA,XML
342,1,2019-01-27,1,2019-01-28,1,2018-10-30,89,2019-01-13 00:00:00,75.0,14.0,L-W,Double Standard,RO,2,0,0,Other,OTA,XML
343,1,2019-01-27,1,2019-02-03,7,2019-01-03,24,2019-01-27 00:00:00,24.0,0.0,W-W,Double Standard,BB,1,0,0,United States,GDS,GDS
344,1,2019-01-27,1,2019-01-29,2,2019-01-09,18,2019-01-10 00:00:00,1.0,17.0,L-W,Double Standard,RO,1,0,0,United States,OTA,XML
345,1,2019-01-27,1,2019-01-28,1,2019-01-17,10,2019-01-18 00:00:00,1.0,9.0,L-W,Double Standard,BB,2,0,0,United Kingdom,TTOO,EMAIL
346,1,2019-01-28,1,2019-01-29,1,2018-12-07,52,2018-12-07 00:00:00,0.0,52.0,L-L,Double Standard,RO,1,0,0,Other,OTA,XML
348,1,2019-01-28,1,2019-01-30,2,2018-12-09,50,2019-01-14 00:00:00,36.0,14.0,L-L,Double Standard,HB,2,0,0,Spain,Direct / Walk-in,WEB
350,1,2019-01-28,1,2019-02-01,4,2018-12-17,42,2018-12-20 00:00:00,3.0,39.0,L-L,Double Standard,BB,1,0,0,United Kingdom,Corporate / Mice,GDS
351,1,2019-01-28,1,2019-01-30,2,2018-12-19,40,2019-01-17 00:00:00,29.0,11.0,L-L,Double Standard,BB,1,0,1,United Kingdom,Corporate / Mice,GDS
352,1,2019-01-28,1,2019-01-30,2,2019-01-09,19,2019-01-10 00:00:00,1.0,18.0,L-L,Double Standard,BB,1,0,1,Spain,Travel agency,EMAIL
353,1,2019-01-28,1,2019-01-31,3,2019-01-14,14,2019-01-14 00:00:00,0.0,14.0,L-L,Double Standard,BB,1,0,0,United Kingdom,Corporate / Mice,GDS
