Numero Reserva,Cliente Comercial,Fecha llegada,Fecha de salida,Tipo de habitación,Estado,Identificador régimen alimenticio,Tarifa,Fecha de Creación,Nº de pax del tipo 1 alojados,Fecha de cancelación,VIP,Identificador segmento de mercado,Identificador procedencia de negocio,País,Identificador de canal
5461970,SELECTIVE TRAVEL MANAGEMENT,28/6/2019,29/6/2019,DBLSTD,Confirmada,BB,C_150/170,21/6/2019,1,,5,CORP,EMP,GB,GDS
5461971,SELECTIVE TRAVEL MANAGEMENT,28/6/2019,29/6/2019,DBLSTD,Confirmada,BB,C_150/170,21/6/2019,1,,5,CORP,EMP,GB,GDS
5461972,SELECTIVE TRAVEL MANAGEMENT,28/6/2019,29/6/2019,DBLSTD,Confirmada,BB,C_150/170,21/6/2019,1,,5,CORP,EMP,GB,GDS
5461975,SELECTIVE TRAVEL MANAGEMENT,28/6/2019,29/6/2019,DBLSTD,Confirmada,BB,C_150/170,21/6/2019,2,,5,CORP,EMP,GB,GDS
5461977,SELECTIVE TRAVEL MANAGEMENT,28/6/2019,29/6/2019,DBLSTD,Confirmada,BB,C_150/170,21/6/2019,2,,5,CORP,EMP,GB,GDS
5462121,EXPEDIA,23/6/2019,24/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,21/6/2019,1,,,ONL,ONL,US,XML
5462179,EXPEDIA,23/6/2019,24/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,21/6/2019,1,,,ONL,ONL,US,XML
5462502,DIRECT,21/6/2019,22/6/2019,DBLSTD,Confirmada,BB,,21/6/2019,1,,5,DIR,DIR,ES,EMAIL
5462690,BOOKING.COM,24/6/2019,25/6/2019,DBLSTD,Confirmada,BB,X_BAR,21/6/2019,1,,,ONL,ONL,,XML
5462962,DIRECT,21/6/2019,22/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,21/6/2019,2,,,DIR,DIR,ES,EMAIL
5463564,SUNHOTELS,21/6/2019,27/6/2019,DBLSTD,Confirmada,BB,B_BAR,21/6/2019,2,,,ONL,ONL,GB,EMAIL
5463601,HRS PAYMENT SOLUTIONS GMBH,24/6/2019,25/6/2019,DBLSTD,Confirmada,BB,C_150/170,21/6/2019,1,,,CORP,ONL,DE,XML
5463830,BOOKING.COM,21/6/2019,22/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,21/6/2019,1,,,ONL,ONL,,XML
5464138,DIRECT,21/6/2019,22/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,21/6/2019,2,,,DIR,DIR,ES,EMAIL
5464556,RED LETTER DAYS,29/6/2019,30/6/2019,DBLSTD,Confirmada,BB,BFL_RED,22/6/2019,2,,,ONL,ONL,GB,EMAIL
5464858,BOOKING.COM,22/6/2019,23/6/2019,DBLSTDST,Confirmada,RO,X_BAR_NR,22/6/2019,1,,,ONL,ONL,,XML
5464912,HRS PAYMENT SOLUTIONS GMBH,24/6/2019,25/6/2019,DBLSTD,Confirmada,BB,C_150/170,22/6/2019,1,,,CORP,ONL,DE,XML
5465025,RED LETTER DAYS,22/6/2019,23/6/2019,DBLSTD,Confirmada,BB,BFL_RED,22/6/2019,2,,,ONL,ONL,GB,EMAIL
5465035,BOOKING.COM,22/6/2019,23/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,22/6/2019,2,,,ONL,ONL,,XML
5466152,EXPEDIA,22/6/2019,24/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,22/6/2019,2,,,ONL,ONL,US,XML
5466562,DIRECT,22/6/2019,23/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,22/6/2019,2,,,DIR,DIR,ES,EMAIL
5466599,HOTEL TONIGHT UK,22/6/2019,24/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,22/6/2019,2,,,ONL,ONL,GB,EMAIL
5467232,BOOKING.COM,23/6/2019,24/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,23/6/2019,2,,,ONL,ONL,,XML
5467674,CLUB H10,30/6/2019,1/7/2019,DBLSUP,Confirmada,RO,W_BAR_NR,23/6/2019,2,,,DIR,DIR,ES,WEB
5467717,HOTEL TONIGHT UK,23/6/2019,24/6/2019,DBLSTD,Confirmada,RO,B_BAR_NR,23/6/2019,2,,,ONL,ONL,GB,EMAIL
5468422,BOOKING.COM,23/6/2019,24/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,23/6/2019,1,,,ONL,ONL,,XML
5468697,EXPEDIA,24/6/2019,25/6/2019,DBLSTDST,Confirmada,RO,X_BAR_NR,23/6/2019,1,,,ONL,ONL,US,XML
5468790,TUI BELGIUM,24/6/2019,28/6/2019,DBLSTD,Confirmada,BB,F_W18_S19,24/6/2019,1,,,TTOO,BEL,BE,EMAIL
5469376,CHECK POINT SOFTWARE TECHNOLOGIES,25/6/2019,27/6/2019,DBLSTD,Confirmada,BB,C_155/175,24/6/2019,1,,5,CORP,EMP,IL,EMAIL
5469656,RED LETTER DAYS,29/6/2019,30/6/2019,DBLSTD,Confirmada,BB,BFL_RED,24/6/2019,2,,,ONL,ONL,GB,EMAIL
5469663,HOTEL DIRECT,24/6/2019,25/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,24/6/2019,2,,,ONL,ONL,GB,EMAIL
5469664,HOTEL DIRECT,24/6/2019,25/6/2019,DBLSTD,Confirmada,RO,X_BAR_NR,24/6/2019,2,,,ONL,ONL,GB,EMAIL
5469752,HLMAD,24/6/2019,25/6/2019,DBLSTD,Confirmada,BB,C_170/190,24/6/2019,1,,,CORP,EMP,GB,IMPLANT
5470959,TATE,26/6/2019,28/6/2019,DBLSTD,Confirmada,BB,C_155/175,24/6/2019,1,,5,CORP,EMP,GB,EMAIL
5470988,PREMIER BOOKING SERVICES,26/6/2019,27/6/2019,DBLSTD,Confirmada,BB,C_155/175,24/6/2019,1,,5,CORP,EMP,GB,IMPLANT
5470990,PREMIER BOOKING SERVICES,26/6/2019,27/6/2019,DBLSTD,Confirmada,BB,C_155/175,24/6/2019,1,,5,CORP,EMP,GB,IMPLANT
